yyyymm,Y,LY,DY,EP,DE,b/m,tbl,dfy,lty,dfr,ntis,infl,ltr,TMS,DP,svar
192612,-0.002910,0.0260,2.9839,-2.3868,-0.5862,0.4414758270,0.0307,-0.5500,0.0354,-0.0022,0.0508761773,0.0000000000,0.0078,-0.0229,-2.9730,0.0004646178
192701,0.045522,-0.0029,2.9520,-2.3748,-0.5676,0.4437056454,0.0323,-0.5323,0.0351,-0.0019,0.0508237847,-0.0112994350,0.0075,-0.0248,-2.9424,0.0004698947
192702,0.007324,0.0455,2.9890,-2.4304,-0.5492,0.4285008644,0.0329,-0.5147,0.0347,-0.0019,0.0516676427,-0.0057142857,0.0088,-0.0241,-2.9795,0.0002873343
192703,0.013021,0.0073,2.9860,-2.4451,-0.5315,0.4697651174,0.0320,-0.4980,0.0331,-0.0170,0.0463565760,-0.0057471264,0.0253,-0.0067,-2.9765,0.0009241928
192704,0.062353,0.0130,2.9936,-2.4713,-0.5129,0.4567541302,0.0339,-0.4803,0.0333,0.0060,0.0505140243,0.0000000000,-0.0005,-0.0344,-2.9842,0.0006025886
192705,-0.020370,0.0624,3.0351,-2.5314,-0.4945,0.4347826087,0.0333,-0.4627,0.0327,-0.0120,0.0552753898,0.0057803468,0.0109,-0.0224,-3.0260,0.0003917338
192706,0.084450,-0.0204,3.0165,-2.5313,-0.4760,0.4523852494,0.0307,-0.4450,0.0334,0.0112,0.0588219162,0.0114942529,-0.0069,-0.0376,-3.0073,0.0008245770
192707,0.033320,0.0845,3.0703,-2.6037,-0.4574,0.4145534730,0.0296,-0.4273,0.0333,-0.0047,0.0597499253,-0.0170454545,0.0050,-0.0246,-3.0611,0.0004257798
192708,0.053016,0.0333,3.1047,-2.6567,-0.4390,0.3962274092,0.0270,-0.4097,0.0329,0.0007,0.0545217717,-0.0057803468,0.0076,-0.0194,-3.0958,0.0012764139
192709,-0.046804,0.0530,3.1381,-2.7078,-0.4213,0.3805860620,0.0268,-0.3930,0.0330,0.0131,0.0946129771,0.0058139535,0.0018,-0.0250,-3.1291,0.0011233495
192710,0.070546,-0.0468,3.0745,-2.6629,-0.4028,0.4138006933,0.0308,-0.3753,0.0325,-0.0044,0.0943667354,0.0057803468,0.0099,-0.0209,-3.0656,0.0015593375
192711,0.019295,0.0705,3.1312,-2.7382,-0.3843,0.3793955905,0.0304,-0.3577,0.0320,-0.0029,0.0822671859,-0.0057471264,0.0097,-0.0207,-3.1225,0.0009296591
192712,-0.007182,0.0193,3.1414,-2.7669,-0.3657,0.3746885899,0.0317,-0.3400,0.0316,-0.0004,0.0764711093,0.0000000000,0.0072,-0.0245,-3.1327,0.0006042041
192801,-0.012549,-0.0072,3.1276,-2.7413,-0.3776,0.3786696208,0.0331,-0.3563,0.0321,0.0063,0.0626014543,0.0000000000,-0.0036,-0.0367,-3.1189,0.0008605259
192802,0.105752,-0.0125,3.1011,-2.7043,-0.3883,0.3860765992,0.0333,-0.3717,0.0318,0.0007,0.0551726339,-0.0115606936,0.0061,-0.0272,-3.0926,0.0006911239
192803,0.034725,0.1058,3.1955,-2.7883,-0.3987,0.3632548380,0.0327,-0.3870,0.0317,-0.0004,0.0543639372,0.0000000000,0.0045,-0.0282,-3.1870,0.0013810077
192804,0.012325,0.0347,3.2189,-2.8008,-0.4096,0.3680952606,0.0362,-0.4033,0.0319,0.0018,0.0493720638,0.0000000000,-0.0004,-0.0366,-3.2104,0.0014879603
192805,-0.034330,0.0123,3.2230,-2.7952,-0.4195,0.3543969792,0.0390,-0.4187,0.0327,-0.0001,0.0471873758,0.0058479532,-0.0077,-0.0467,-3.2148,0.0018988588
192806,0.010117,-0.0343,3.1734,-2.7353,-0.4299,0.3702999477,0.0392,-0.4350,0.0326,-0.0065,0.0502987889,-0.0058139535,0.0041,-0.0351,-3.1651,0.0036454766
192807,0.070230,0.0101,3.1775,-2.7294,-0.4399,0.3606481481,0.0412,-0.4513,0.0344,0.0207,0.0593803298,0.0000000000,-0.0217,-0.0629,-3.1693,0.0016749799
